epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1068.03,0.79106,0.47385,1.10325,0.93417,0.94651,0.95248,0.71144,0.99259,0.44625,1.26132,0.00038375,0.00038375,0.00038375
72,1144.11,0.79623,0.48844,1.10448,0.94042,0.93446,0.94817,0.71362,0.97425,0.44631,1.25395,0.000371375,0.000371375,0.000371375
73,1220.19,0.78475,0.47702,1.09897,0.94428,0.94895,0.95306,0.71274,0.98893,0.447,1.26602,0.000359,0.000359,0.000359
74,1294.74,0.78708,0.47021,1.0981,0.94587,0.9409,0.95488,0.71564,0.9763,0.43241,1.25546,0.000346625,0.000346625,0.000346625
75,1371.14,0.78617,0.47189,1.09687,0.94444,0.94277,0.95691,0.7114,0.98685,0.43732,1.27063,0.00033425,0.00033425,0.00033425
76,1447.46,0.77224,0.46301,1.08836,0.94236,0.95381,0.95631,0.71599,0.98518,0.4349,1.28076,0.000321875,0.000321875,0.000321875
77,1522.27,0.767,0.46469,1.08518,0.94933,0.95368,0.96076,0.71607,0.98542,0.43473,1.25737,0.0003095,0.0003095,0.0003095
78,1599.25,0.77052,0.45811,1.08959,0.95359,0.94144,0.95981,0.71486,0.98944,0.4426,1.27181,0.000297125,0.000297125,0.000297125
79,1673.52,0.76338,0.45798,1.0852,0.95234,0.94512,0.96016,0.71486,0.98531,0.42478,1.27327,0.00028475,0.00028475,0.00028475
80,1750.17,0.74961,0.44948,1.0776,0.95929,0.94143,0.959,0.72216,0.98356,0.42108,1.27385,0.000272375,0.000272375,0.000272375
81,1826.42,0.75659,0.45757,1.08105,0.95634,0.94489,0.96464,0.71552,0.99041,0.42462,1.28322,0.00026,0.00026,0.00026
82,1901.61,0.7457,0.44398,1.07622,0.95141,0.94711,0.95719,0.716,0.9886,0.43985,1.28087,0.000247625,0.000247625,0.000247625
83,1975.65,0.74243,0.44506,1.06734,0.94682,0.95145,0.9543,0.71454,0.99357,0.42882,1.28289,0.00023525,0.00023525,0.00023525
84,2053.25,0.73983,0.43461,1.07162,0.94355,0.95228,0.95477,0.72171,0.98047,0.43879,1.26834,0.000222875,0.000222875,0.000222875
85,2127.58,0.73529,0.44416,1.07419,0.95333,0.94242,0.95355,0.71272,0.98711,0.43844,1.27578,0.0002105,0.0002105,0.0002105
86,2202.42,0.75187,0.4436,1.0806,0.95509,0.94679,0.95833,0.71673,0.98867,0.42712,1.2737,0.000198125,0.000198125,0.000198125
87,2280.33,0.77707,0.46018,1.08676,0.95508,0.9462,0.95748,0.71902,0.98731,0.42099,1.26757,0.00018575,0.00018575,0.00018575
88,2354.49,0.77654,0.46697,1.09301,0.9496,0.9474,0.96037,0.72148,0.98288,0.42298,1.2642,0.000173375,0.000173375,0.000173375
89,2430.18,0.76682,0.45472,1.08763,0.94187,0.95789,0.96174,0.72451,0.98275,0.42454,1.26063,0.000161,0.000161,0.000161
90,2505.2,0.76909,0.45743,1.0928,0.9529,0.94422,0.96139,0.71667,0.9851,0.42898,1.26322,0.000148625,0.000148625,0.000148625
91,2580.46,0.70821,0.34191,1.07163,0.95004,0.94409,0.95772,0.70775,0.9988,0.4303,1.28144,0.00013625,0.00013625,0.00013625
92,2651.54,0.69551,0.32556,1.0619,0.9549,0.95105,0.96152,0.71439,0.98361,0.42421,1.2734,0.000123875,0.000123875,0.000123875
93,2722.16,0.68507,0.3248,1.05038,0.95135,0.94973,0.9618,0.71449,0.98273,0.42665,1.26862,0.0001115,0.0001115,0.0001115
94,2795.16,0.68104,0.31445,1.04656,0.95522,0.93736,0.95585,0.712,0.9884,0.42342,1.27861,9.9125e-05,9.9125e-05,9.9125e-05
95,2866.1,0.67162,0.31135,1.03916,0.95342,0.9432,0.95868,0.71184,0.98665,0.42817,1.27158,8.675e-05,8.675e-05,8.675e-05
96,2939.05,0.67916,0.31677,1.04569,0.95581,0.94629,0.95843,0.71403,0.97986,0.42311,1.26887,7.4375e-05,7.4375e-05,7.4375e-05
97,3009.32,0.66947,0.31089,1.0436,0.94553,0.94684,0.95741,0.7164,0.98365,0.42425,1.27378,6.2e-05,6.2e-05,6.2e-05
98,3081.63,0.66208,0.31095,1.03655,0.94496,0.94921,0.95792,0.71917,0.97602,0.4266,1.27084,4.9625e-05,4.9625e-05,4.9625e-05
99,3151.67,0.65655,0.30223,1.0426,0.94659,0.95036,0.95769,0.71857,0.98099,0.42467,1.2759,3.725e-05,3.725e-05,3.725e-05
100,3221.08,0.65451,0.30511,1.03147,0.95749,0.94311,0.95627,0.71551,0.98119,0.42614,1.2757,2.4875e-05,2.4875e-05,2.4875e-05
